model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
Redmi Note 13 Pro Plus (Variant 1),Redmi,12,512,1479,Octa-core (2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510),Mali-G610 MC4,Mediatek Dimensity 7200 Ultra (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, 100% in 19 min (advertised)",5000.0,6144
Redmi Note 13 Pro,Redmi,8,256,800,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"Li-Po 5100 mAh, non-removable battery67W wired, PD3.0, 50% in 17 min, 100% in 44 min (advertised)",5100.0,2048
Redmi Note 13 5G,Redmi,8,256,679,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6080 (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired",5000.0,2048
Poco M6 Pro,Poco,8,256,601,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G99 Ultra,"5000 mAh, non-removable battery67W wired, 100% in 44 min (advertised)",5000.0,2048
Poco M6 Pro (Variant 1),Poco,12,512,690,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G99 Ultra,"5000 mAh, non-removable battery67W wired, 100% in 44 min (advertised)",5000.0,6144
Poco X6,Poco,12,512,750,Octa-core (4x2.40 GHz & 4x1.95 GHz),Adreno 710,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"5100 mAh, non-removable battery67W wired, 100% in 44 min (advertised)",5100.0,6144
Poco X6 (Variant 1),Poco,12,256,1165,Octa-core (4x2.40 GHz & 4x1.95 GHz),Adreno 710,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"5100 mAh, non-removable battery67W wired, 100% in 44 min (advertised)",5100.0,3072
Poco X6 (Variant 2),Poco,12,512,750,Octa-core (4x2.40 GHz & 4x1.95 GHz),Adreno 710,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"5100 mAh, non-removable battery67W wired, 100% in 44 min (advertised)",5100.0,6144
Poco X6 Pro,Poco,8,256,1099,Octa-core 3.35 GHz (1+3+4 cores),Mali G615-MC6,Mediatek Dimensity 8300 Ultra (4 nm),"5000 mAh, non-removable battery67W wired, 100% in 45 min (advertised)",5000.0,2048
Poco X6 Pro (Variant 1),Poco,12,512,1299,Octa-core 3.35 GHz (1+3+4 cores),Mali G615-MC6,Mediatek Dimensity 8300 Ultra (4 nm),"5000 mAh, non-removable battery67W wired, 100% in 45 min (advertised)",5000.0,6144
Moto G Stylus 5G 2024,Moto,8,256,700,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"5000 mAh, non-removable battery30W wired
15W wireless",5000.0,2048
Oppo Reno 11,Oppo,12,256,1199,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),ARM Mali-G68 MC4,MediaTek Dimensity 7050,"Li-Po 4800 mAh, non-removable battery67W wired, PD, QC3, 1-50% in 19 min (advertised)
Reverse wired",4800.0,3072
